id	name	sub_name	sub_id	sub_level	colls_count	execution_time_ms
710259	Сотрудник 7	Главное подразделение 1	100051	0	3	4
710260	Сотрудник 8	Главное подразделение 1	100051	0	3	NULL
710253	Сотрудник 1	Главное подразделение 1	100051	0	3	NULL
710261	Сотрудник 9	Подразделение 1.1	100053	1	2	NULL
710262	Сотрудник 10	Подразделение 1.1	100053	1	2	NULL
710263	Сотрудник 11	Подразделение 1.2	100054	1	2	NULL
710264	Сотрудник 12	Подразделение 1.2	100054	1	2	NULL
710267	Сотрудник 15	Подразделение 1.1.1	100058	2	2	NULL
710268	Сотрудник 16	Подразделение 1.1.1	100058	2	2	NULL
710271	Сотрудник 19	Подразделение 1.2.1	100060	2	3	NULL
710272	Сотрудник 20	Подразделение 1.2.1	100060	2	3	NULL
710273	Сотрудник 21	Подразделение 1.2.1	100060	2	3	NULL
710276	Сотрудник 24	Подразделение 1.2.1.1	100061	3	1	NULL
